GrLivArea,GarageArea,LotArea,YearBuilt,YrSold
1657,484,12155,1970,2007
1092,286,2217,1970,2009
1710,550,12118,2004,2009
1522,0,6000,1926,2006
1271,312,21286,1948,2008
1664,0,9825,1965,2010
1502,180,10592,1923,2007
1022,280,7200,1910,2009
1082,240,11664,1948,2007
1665,528,8400,2001,2009
1504,478,11883,1996,2009
1360,565,5814,1984,2009
1472,402,10784,1991,2007
1506,440,3013,2005,2006
1132,451,7024,2005,2008
1220,632,7406,2006,2006
1248,160,9439,1930,2007
1504,437,3182,2005,2008
2898,665,15498,1976,2008
882,461,7700,1972,2007
1264,461,9300,1960,2010
1646,800,9520,2007,2008
1376,240,9492,1941,2007
1218,264,1680,1972,2006
1928,0,7082,1916,2006
3082,672,15863,1920,2009
2520,796,14541,1993,2006
1654,900,8125,2002,2006
954,240,6305,1938,2007
845,290,11500,1957,2009
1620,912,12898,2007,2009
2263,905,9240,2001,2008
1344,0,1533,1970,2009
630,286,1477,1970,2009
1803,484,13125,1957,2006
1632,484,9130,1966,2008
1306,624,5381,2005,2009
2329,514,11839,1990,2008
2524,542,9600,1981,2009
1733,452,13680,1955,2009
2868,716,16056,2005,2006
990,672,9245,1994,2008
1771,336,21750,1960,2009
930,308,11100,1946,2010
1302,436,8993,2007,2007
1316,440,11175,2007,2007
1977,540,9500,1964,2007
1526,364,8562,1957,2010
1989,586,11367,2002,2006
1523,478,11361,1976,2008
1364,484,7052,2005,2006
1850,467,29959,1994,2009
2184,836,11308,2008,2009
1991,432,11275,1932,2007
1338,582,4920,2001,2010
894,1248,18000,1935,2008
2337,560,13600,1900,2007
1103,440,6000,1925,2006
1154,480,11000,1966,2009
2260,533,14000,1996,2010
1571,380,7837,1993,2009
1611,442,9760,1964,2008
2521,576,3964,1973,2006
893,576,9600,1949,2007
1048,286,10152,1956,2007
1556,441,11700,1968,2009
1456,280,7585,1948,2006
1426,440,7950,1977,2009
1240,826,8556,2006,2007
1740,240,13125,1940,2007
1466,566,10800,1936,2006
1096,299,15870,1969,2006
848,420,4435,2004,2006
990,299,8775,1994,2007
1258,528,11040,1971,2008
1040,308,7500,1963,2010
1459,527,8749,2002,2007
1251,461,8800,1964,2006
1498,409,13031,1995,2006
996,564,9069,1992,2010
1092,286,1974,1973,2010
1953,1043,10574,2005,2009
1709,380,2522,2004,2006
1247,550,3316,2005,2006
1040,400,8544,1950,2009
1252,462,2160,1999,2008
1694,576,8400,1925,2008
1200,884,9230,1965,2006
936,308,5868,1956,2010
1314,440,9317,2006,2007
1355,0,6882,1914,2007
1088,461,3696,1986,2007
1324,240,6000,1936,2009
1601,478,11880,1978,2009
438,246,8400,1920,2009
950,280,9758,1971,2007
1134,254,7000,1960,2007
1194,539,8910,1959,2006
1302,440,2016,1970,2007
2622,712,12256,1994,2010
1442,719,10357,1990,2007
2021,422,23257,2006,2006
1690,463,8063,2000,2007
1836,862,11362,2004,2009
1658,431,8000,1995,2008
1964,483,10480,1976,2008
816,308,7100,1957,2006
1008,240,8923,1953,2007
833,326,5400,1954,2006
1734,928,12085,2007,2007
1419,527,7750,2002,2009
894,450,9764,1967,2008
1601,300,13825,1958,2008
1040,286,7560,1959,2006
1012,308,8263,1920,2007
1552,782,10084,2005,2006
960,288,8926,1956,2009
698,0,9405,1947,2009
1482,392,9125,1992,2007
1005,672,10434,1955,2009
1555,660,3684,2007,2009
1530,630,14572,2004,2007
1959,434,11796,2004,2007
936,672,7200,1980,2007
1981,576,7804,1928,2009
974,0,10712,1991,2007
2210,205,9900,1880,2007
2020,466,9828,1995,2009
1600,460,8773,1997,2007
986,180,6180,1926,2007
1252,288,9600,1950,2008
1020,0,6342,1875,2010
1567,714,9819,1977,2009
1167,495,8731,1920,2007
952,840,7350,1951,2008
1868,484,10304,1976,2009
2828,1052,9965,2006,2007
1006,0,9000,1959,2008
924,280,12180,1941,2010
1576,225,6240,1928,2006
1298,403,11200,1985,2006
1564,234,12000,1941,2009
1111,288,5700,1926,2008
1482,324,9000,1920,2009
932,306,8280,1950,2007
1466,528,17755,1959,2006
1811,470,14115,1956,2006
816,432,5890,1930,2008
1820,492,13700,1965,2008
1437,528,10768,1976,2007
1265,502,9350,1965,2008
1314,626,5001,2007,2009
1580,830,11932,2007,2008
1876,540,9120,1974,2008
1456,440,2280,1978,2010
1640,924,14778,1954,2008
894,450,8724,1968,2007
1258,400,12900,1969,2008
1432,588,16157,1978,2007
1502,644,9541,2009,2009
1694,776,10475,2008,2010
1671,472,10852,2000,2006
2108,540,13728,1935,2008
3627,807,35760,1995,2006
1118,358,9880,1977,2008
1261,433,9120,1958,2008
1250,625,4017,2006,2008
3086,0,18030,1946,2007
2345,360,16560,1932,2006
2872,541,10678,1992,2007
923,264,6951,1984,2008
1224,210,3950,1926,2009
1343,186,7681,1921,2009
1124,0,8335,1954,2006
2514,693,11170,1990,2006
1652,482,5587,2008,2008
4476,813,15623,1996,2007
1130,720,10800,1920,2006
1572,995,35133,1963,2007
1221,392,9738,1924,2006
1699,420,10615,1900,2009
1624,757,12461,1994,2006
1660,493,8935,2002,2009
1804,442,7500,1999,2010
1622,1356,32463,1961,2007
1441,492,2645,1999,2007
1472,250,9600,1925,2007
1224,402,4500,1999,2009
1352,299,9364,1969,2010
1456,400,8029,2005,2008
1863,660,14054,2006,2006
1690,225,8850,1916,2006
1212,573,9100,2001,2009
1382,459,11235,1963,2006
864,280,9353,1970,2006
1779,546,10400,1998,2009
1348,216,6000,1925,2009
1630,451,9750,2000,2009
1074,495,10140,1975,2006
2196,701,14684,1990,2009
1056,384,8900,1966,2006
1700,544,9135,2003,2006
1283,506,7763,1962,2008
1660,500,10182,2006,2006
1845,462,11218,1992,2010
1752,492,12134,1988,2010
672,234,9340,1941,2009
960,364,10246,1965,2006
999,300,10205,1962,2006
894,384,7094,1966,2007
1902,539,8930,1978,2010
1314,552,8640,2009,2009
912,0,6240,1947,2006
1218,0,1680,1971,2006
912,288,7800,1964,2006
1211,322,8250,1968,2008
1846,315,10496,1949,2007
2136,528,10680,1951,2006
1490,388,15384,2004,2008
1138,264,10482,1958,2007
1933,668,14598,2007,2008
912,576,8872,1965,2008
1702,1052,8769,2008,2008
1507,404,7910,1960,2008
2620,600,18890,1977,2007
1190,540,7728,1962,2006
1224,462,9842,1962,2007
1188,531,12160,1959,2010
1964,0,8525,1911,2008
1784,180,13132,1914,2006
1626,474,2628,2003,2010
1948,434,12393,2004,2006
1141,484,13072,2005,2006
1484,472,9037,2006,2007
1768,543,8158,2003,2008
1689,954,9849,2007,2007
1173,528,10625,1974,2010
2076,850,13891,2006,2006
1517,400,11435,1929,2006
1868,477,12090,1984,2007
1553,615,8125,2005,2006
1034,888,12328,1976,2010
2058,396,9600,1917,2008
988,276,7200,1950,2007
2110,522,11160,1968,2010
1405,478,3136,2003,2006
874,288,9858,1968,2009
2167,518,17542,1974,2007
1656,397,6931,2003,2008
1367,560,6240,1931,2007
1987,691,14303,1994,2008
864,0,4060,1922,2009
1166,400,9587,2005,2008
1054,460,9750,1969,2008
1675,502,24682,1999,2009
1050,338,9600,1956,2009
1788,304,11250,1957,2009
1824,520,13515,1919,2007
1337,511,4060,1998,2008
1452,506,3735,1999,2006
1889,308,10120,1910,2007
2018,746,13214,2008,2010
3447,1014,14100,1935,2008
1524,315,11344,1958,2007
1524,586,23595,1979,2010
1489,462,9156,1968,2009
935,288,13526,1965,2006
1357,312,11512,1959,2008
1250,552,5362,1910,2007
1920,400,11345,1948,2007
1395,497,12936,1972,2009
1724,480,17871,1967,2009
2031,577,9473,2002,2008
1128,528,7500,1920,2010
1573,544,9808,2002,2009
1339,484,8049,1990,2006
1040,484,8800,1977,2009
1824,0,9400,1971,2010
2447,336,9638,1919,2010
1412,280,6000,1939,2009
1328,528,9790,1963,2010
1582,390,36500,1964,2006
1659,499,5664,2000,2009
1970,753,11065,2006,2006
1152,484,14112,1964,2010
1302,264,1680,1972,2009
2372,432,6600,1892,2009
1664,528,10140,1976,2006
864,572,8172,1955,2006
1052,288,8400,1968,2006
1128,525,8700,1963,2008
1072,525,3675,2005,2006
5642,1418,63887,2008,2008
1246,305,7500,1959,2010
1983,490,10762,1999,2009
1494,213,7500,1942,2009
2526,844,10120,1994,2006
1616,834,8688,2005,2006
1708,380,3363,2004,2006
1652,840,13173,2006,2009
1368,474,6955,2005,2006
990,480,8072,1994,2009
1122,528,12000,1948,2008
1294,496,7153,1991,2008
1902,567,17500,1959,2010
1274,508,8814,2005,2007
2810,750,9572,1990,2007
2599,779,14774,1999,2010
948,280,8190,1954,2007
2112,576,11075,1969,2008
1630,860,10226,2008,2009
1352,466,4230,2006,2007
1787,748,14781,2001,2006
948,248,10215,1954,2007
1478,442,8400,1957,2009
720,287,6627,1949,2008
1923,564,10186,1992,2010
708,0,5330,1940,2009
1795,895,9986,2006,2007
796,0,3636,1922,2008
774,0,4270,1931,2007
816,264,6600,1982,2008
2792,520,10440,1920,2008
1632,462,9084,1998,2006
1588,825,10000,2006,2007
954,576,10780,1976,2006
816,288,8877,1938,2009
1360,297,7200,1938,2006
1365,440,2368,1970,2009
1334,630,9650,1977,2009
1656,506,9246,1973,2008
693,0,4118,1941,2006
1861,492,13450,2002,2006
864,288,9560,1972,2006
872,480,8294,1971,2007
1114,576,13695,2003,2008
2169,647,9375,2002,2007
1913,342,7558,1928,2009
1456,440,11103,2006,2007
960,308,6000,1920,2007
2156,508,20781,1968,2006
1776,712,15306,2006,2007
1494,514,16196,1998,2007
2358,0,5250,1872,2008
2634,968,11643,1969,2009
1716,490,9247,1962,2008
1176,624,6000,1937,2009
3238,666,14720,1995,2010
1865,839,10316,2000,2008
1920,487,10192,1968,2006
892,264,9477,1966,2008
1078,500,12537,1971,2010
1573,440,2117,2000,2010
1980,770,16737,2004,2006
2601,621,9842,1921,2008
1530,430,16158,2005,2009
1738,368,12513,1920,2009
1412,432,8499,2006,2007
1200,480,3180,2005,2006
1674,663,7500,2000,2010
1790,588,9179,1999,2008
1475,336,2665,1977,2006
848,420,4435,2003,2009
1668,502,10635,2003,2010
1374,338,5400,1920,2009
1661,377,9600,1955,2008
2097,583,9750,1998,2006
2633,804,11400,2001,2007
1958,936,10625,2005,2008
1571,722,10991,2007,2007
790,160,6292,1930,2008
1604,660,10998,1941,2009
987,264,1953,1973,2006
1394,400,9735,2006,2008
864,200,8212,1914,2010
2117,550,12925,1970,2008
1762,576,7200,1920,2006
1416,576,25339,1918,2007
1258,280,9060,1939,2009
1154,240,5436,1922,2010
2784,564,16692,1978,2006
2526,216,8520,1916,2007
1746,758,14892,2006,2009
1218,440,6000,1941,2007
1525,541,9100,2000,2006
1584,792,8944,1967,2009
900,288,7838,1967,2006
1912,672,10800,1905,2008
1500,648,4045,2006,2006
2482,642,12665,2005,2007
1687,572,57200,1948,2010
1513,180,6120,1920,2007
1904,240,7200,1950,2009
1608,216,6171,1925,2009
1158,208,6000,1929,2008
1593,398,7415,2004,2008
1294,662,6762,2006,2006
1464,754,15256,2007,2007
1214,936,10410,1915,2006
1646,482,3842,2004,2008
768,396,8445,1972,2009
833,0,8780,1985,2009
1363,528,7740,1910,2010
2093,542,20544,1986,2008
1840,622,12420,2001,2009
1668,271,9600,1950,2009
1040,420,7200,1949,2009
1844,620,10994,2005,2009
1848,370,13053,1923,2008
1569,660,3635,2007,2009
2290,560,11340,1885,2010
2450,1069,16545,1998,2009
1144,336,9204,1963,2008
1844,540,16381,1969,2006
1416,776,11700,1968,2006
1069,440,4043,1977,2010
848,420,4435,2003,2008
2201,432,19690,1966,2006
1344,484,9503,1958,2007
1252,528,10721,1959,2008
2127,525,10944,1994,2008
1558,288,10930,1945,2008
804,240,7200,1940,2010
1440,467,12546,1981,2007
1838,372,21930,2005,2006
958,440,4928,1976,2009
968,216,10800,1927,2007
1792,451,10261,2000,2008
1126,484,17400,1977,2006
1537,462,8400,1962,2008
864,528,9000,1971,2007
1932,774,12444,2008,2008
1236,923,7407,1957,2010
1725,550,11584,1979,2007
2555,672,11526,1922,2008
848,420,4426,2004,2008
2007,812,11003,2008,2009
952,192,8854,1916,2009
1422,626,8500,2004,2007
913,240,8400,1966,2007
1188,312,26142,1962,2010
2090,556,10000,1995,2007
1346,384,11767,1910,2007
630,0,1533,1970,2006
1792,0,9000,1974,2009
1578,840,9262,2008,2009
1072,525,3675,2005,2006
1140,0,17217,2006,2006
1221,400,7500,2004,2009
1647,460,7917,1999,2007
2073,500,13175,1978,2010
2340,252,9042,1941,2010
1078,240,9717,1950,2010
1256,276,9937,1965,2008
